Product Name,Product ID,Category,How likely are you to recommend this product?,"Complete - Yes/No. If No, please provide rationale","Comments"
ASDA Simple to Cook Butter Chicken Curry 350g,100532576,READY TO COOK,N/A,No - Store/Online doesn't stock,#No commentary provided
Asda Scotch Eggs Choriz 226G,100551875,SCOTCH EGGS,N/A,No - Store/Online doesn't stock,#No commentary provided
ASDA Free From Free From by 2 Cod Fishcakes 180g,100165747,FREE FROM,N/A,No - Out of stock,#No commentary provided
Exceptional by ASDA Exceptional by Chicken Gravy 350g,100119358,"GRAVIES, STOCKS & STUFFINGS",7,Yes," 7/10 Colleague took home to cook,said it was ok,nothing special  "
JUST ESSENTIALS by ASDA Cooked & Peeled Prawns 250g,100169178,I-FISH,7,Yes," 7/10 Colleague took home to cook,said it was ok,nothing special  "
ASDA Malted Milk Biscuits 200g,100149866,BISCUIT BARREL,3,Yes," Bland product, not a lot of taste overall, competitive price and easy to find on the shelf and online, Good packaging and well sign written"
OMV! Deliciously Vegan Plant Based by OMV! No Chicken Caesar Wrap 186g,100394422,MAIN,0 - Not at all likely,Yes, Did not taste particularly good. Be good to test vs equivalent vegan no chicked sandwiches in the market. Packaging had some uneccesary photos of Food on that were not immediately obvious what they were.
The BAKERY at ASDA 12 White Iced Ring Donuts,100002000,CAKES,5,Yes, icing is too thin and sprinkles not bright enough colours. 
ASDA Strawberry Mousses 6 x 55g (330g),100542317,YOGURT,6,Yes," Nice strawberry taste initially, but a strange after taste.
The pots were hard to crack away from each other, so the perforation wasn't great, might be an anomaly though.
The texture of the mousses wasn't as light as I was expecting, a bit claggy."
ASDA Biscuit selection 700g,100518437,BISCUIT BARREL,8,Yes," Nice variety and plenty in the box, didnt get chnace to eat many of them as mys kids decimated the box howvere that in its self is invaluble feedbck ! the ones i did have were very good and had a good snap .. there was some borken however this didnt stop them being eaten !"
Exceptional by ASDA 4 All-Butter Croissants,100003826,BAKERY OCCASIONS,9,Yes," Really tasty and a very nice treat, particularly when server warm!"
ASDA The Bakery at Vanilla Party Cake 16 x 62g,100000779,CAKES,8,Yes, Sponge was soft and enjoyable to eat-needs a  little more jam and  lacked a little bit of vanilla taste considering its advertised Vanilla Part Spong - great vaule for a kids birthday party.
ASDA Sweet & Fruity Baby Plum Tomatoes 300g,100394450,WH SALADS,10 = Extremely likely,yes," sweet, perferctly ripe and very juicy"
ASDA ANTHURIUM GIFT  EACH,100175512,PLANTS,0 - Not at all likely,Yes, They were all kind of a little bit dead in the asda I went to so i wouldnt buy again.
The BAKERY at ASDA The Bakery 8 White Mini Wraps 248g,100001090,BAKERY OCCASIONS,7,Yes," ???? The Stretch Armstrong of Lunches
Let's be honest, wraps aren't exactly exciting. Nobody's rushing into a shop thinking, ""Today is the day I buy life-changing wraps.""
But these are good wraps. Soft, sturdy, and flexible enough to cope with whatever random lunch invention you throw at them without exploding halfway through.
Why Stretch Armstrong?
Because they bend, stretch, and somehow hold everything together. Chicken, salad, leftovers, or that questionable fridge combination that seemed like a good idea at the time... these wraps can handle it.
Soft and flexible
Strong enough not to fall apart
Perfect for lunchboxes and quick meals
Easy to find in-store and online
Overall: A dependable lunch essential that does exactly what it should. Not glamorous, not revolutionary, but when lunch needs holding together, these wraps are the hero for the job.
Character Rating: ???? Stretch Armstrong ? flexible, reliable, and carrying your lunch better than most people carry their responsibilities. ????"
Exceptional by ASDA Tenderstem Broccoli Tips 100g,100520728,VEGETABLES,8,Yes," ???? The Groot of Vegetables
These Tenderstem broccoli tips are proof that vegetables don't have to be boring. They were tasty, easy to cook, and added a splash of colour to the plate without any effort.
The texture was spot on, the flavour was fresh, and they worked brilliantly alongside a variety of meals. Sometimes vegetables feel like an obligation. These felt like a bonus.
Why Groot?
Because they're simple, green, and quietly make everything around them better. No drama, no fuss, just turning up and improving the situation.
Fresh and tasty
Quick and easy to cook
Brightens up any plate
Easy to find in-store and online
Overall: A genuinely enjoyable vegetable side that delivers great flavour with minimal effort. No gimmicks, no fancy tricks, just good broccoli doing what good broccoli does best.
Character Rating: ???? Groot ? says very little, looks great, and somehow makes every meal better just by being there. ??????"
